number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
153,0.8366219598347607,2026-05-31 16:08:47.341169,2026-05-31 16:09:34.313461,0 days 00:00:46.972292,balanced,0.9034252329690702,0.032078217006888905,-1,40,0.020974025262783195,1200,184,4.66283673510986e-08,0.00023615214776285967,0.9413243197451002,0.8773826153713754,0.8366219598347607,0.828038690588647,0.8453938055602741,0.9495460596909866,COMPLETE
154,0.8374267224244849,2026-05-31 16:09:34.339474,2026-05-31 16:10:16.324453,0 days 00:00:41.984979,balanced,0.9081626393946657,0.02556861018404941,-1,40,0.0007075743399980912,1200,152,4.859625796425325e-08,0.0002317489961054445,0.9634715875783783,0.8770356709196828,0.8374267224244849,0.8226117118164308,0.8528112790895191,0.9506396219485481,COMPLETE
155,0.8357676916310863,2026-05-31 16:10:16.352484,2026-05-31 16:10:58.306458,0 days 00:00:41.953974,balanced,0.9069864562724389,0.025934337624275557,-1,40,0.01543524458683063,1200,152,5.0839049400418946e-08,0.0003870919420430469,0.9623867285477945,0.8758056138565214,0.8357676916310863,0.8211136633597764,0.8509710661910425,0.9498069508208545,COMPLETE
156,0.8366630704863777,2026-05-31 16:10:58.326037,2026-05-31 16:11:40.378690,0 days 00:00:42.052653,balanced,0.9048194565275653,0.026248374250934202,-1,40,0.002587390931755789,1200,152,1.3636838765790465e-07,0.00036739060717981477,0.9629318346154788,0.8765310213094025,0.8366630704863777,0.8223199917846085,0.85153728554442,0.9502037748763206,COMPLETE
157,0.8366518427846419,2026-05-31 16:11:40.396216,2026-05-31 16:12:22.870824,0 days 00:00:42.474608,balanced,0.9084704552209542,0.023058210750076413,-1,40,0.0019480445425817915,1200,152,1.5117340040428803e-07,0.0004172981441440579,0.9622110250360654,0.8761946020523901,0.8366518427846419,0.820195372530236,0.8538021629579299,0.9502429398196757,COMPLETE
158,0.8366685217145494,2026-05-31 16:12:22.895832,2026-05-31 16:13:05.083985,0 days 00:00:42.188153,balanced,0.9067086089153696,0.02251027937574126,-1,40,0.0003776112225091933,1200,152,3.303483032688542e-07,0.0020489420153330918,0.9625643192990281,0.8761420321187452,0.8366685217145494,0.8198130454488926,0.854255138440632,0.9503322913269016,COMPLETE
159,0.8351260331251232,2026-05-31 16:13:05.103006,2026-05-31 16:13:45.044542,0 days 00:00:39.941536,balanced,0.9059319574651259,0.022275264366335534,-1,50,0.00017447316159038644,1200,136,3.0577057264691895e-07,0.00227345615033483,0.9628411293902308,0.8746070839643566,0.8351260331251232,0.816021561902818,0.8551610894060359,0.9499694888876489,COMPLETE
160,0.8341871654071674,2026-05-31 16:13:45.065208,2026-05-31 16:14:24.736385,0 days 00:00:39.671177,balanced,0.9076728432630308,0.026403646152666282,-1,40,0.06075443624844033,1100,160,1.6840793553647195e-07,0.0006160464369410298,0.954544520296129,0.8745545150255004,0.8341871654071674,0.8192222991602601,0.8497253836136119,0.9488400075759525,COMPLETE
161,0.8341252130474134,2026-05-31 16:14:24.755183,2026-05-31 16:15:06.467920,0 days 00:00:41.712737,balanced,0.9026312737582672,0.02486541297689482,-1,40,0.04357640515524812,1200,152,1.2290543405838269e-07,0.0004337611617790542,0.9424742282898568,0.8744809358204227,0.8341252130474134,0.8189940030082831,0.8498386274842874,0.9492525935253373,COMPLETE
162,0.8355851583643887,2026-05-31 16:15:06.484478,2026-05-31 16:15:44.614821,0 days 00:00:38.130343,balanced,0.9103409019114639,0.020982914162590953,-1,40,9.244552627749383e-05,1100,144,4.103840677972355e-07,0.0013133181414475127,0.9809698235824845,0.874922479359704,0.8355851583643887,0.8162582634301018,0.8558688635977577,0.9500233057044434,COMPLETE
163,0.8360868766360326,2026-05-31 16:15:44.632800,2026-05-31 16:16:33.213124,0 days 00:00:48.580324,balanced,0.9118928118463764,0.019706003585464062,-1,50,0.0026992626000928435,1400,144,4.348044316135677e-07,0.0011255523665499975,0.980932027815741,0.8755638003190214,0.8360868766360326,0.8183780754661814,0.8545948700526584,0.949954494452197,COMPLETE
164,0.8326343360512061,2026-05-31 16:16:33.229478,2026-05-31 16:17:17.799386,0 days 00:00:44.569908,balanced,0.8803592905888068,0.02368876515588189,-1,60,0.04817942796373752,1200,152,2.0390846661562767e-07,0.0011567558846215823,0.960231420331073,0.8729985390302925,0.8326343360512061,0.8153198202422218,0.8507162674820226,0.9486401488737891,COMPLETE
165,0.8333222231891512,2026-05-31 16:17:17.817397,2026-05-31 16:18:02.825085,0 days 00:00:45.007688,balanced,0.9103007847186536,0.025548453571506542,-1,50,0.06507374871057561,1400,136,0.0007038203601508791,0.0008126808642219498,0.9904318210317822,0.8736293434164306,0.8333222231891512,0.8166621580127708,0.8506879565143537,0.9483728671188759,COMPLETE
166,0.8352071185750951,2026-05-31 16:18:02.847706,2026-05-31 16:18:46.589711,0 days 00:00:43.742005,balanced,0.8999643648929506,0.020397688011413822,-1,40,0.013814895404724858,1300,144,2.45178186979743e-07,0.0016944912636772157,0.9658547279379266,0.8749435135008511,0.8352071185750951,0.817814859663474,0.8533774984428968,0.9495649523680193,COMPLETE
