number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
455,0.836511073806601,2026-06-01 23:38:10.161066,2026-06-01 23:38:44.879718,0 days 00:00:34.718652,0.8898884020663682,0.9082860136523998,0.020488125457004708,16,10,0.011422105986747626,1340,231,0.004030657281557949,1.0353554745456253e-08,0.8785077321942261,0.836511073806601,0.8367812070710404,0.8362844188722764,0.9507355425731752,COMPLETE
456,0.837039355651945,2026-06-01 23:38:44.889156,2026-06-01 23:39:19.239586,0 days 00:00:34.350430,0.8847650251914488,0.8272899431290701,0.018854025693392465,16,10,0.007475970100198801,1360,223,0.0029211444817075533,1.4982682019841334e-08,0.8786025046173002,0.837039355651945,0.8352736749734427,0.838834073397956,0.950822874685492,COMPLETE
457,0.8366281687502203,2026-06-01 23:39:19.249337,2026-06-01 23:39:53.725160,0 days 00:00:34.475823,0.8897539143412833,0.9207877911269087,0.020609310625547758,16,10,0.008847193231955743,1360,223,0.003552948405499552,2.7088092693635234e-08,0.8785603741899616,0.8366281687502203,0.8366604155472852,0.8366243501776035,0.9507526664711942,COMPLETE
458,0.8372771469332164,2026-06-01 23:39:53.734888,2026-06-01 23:40:27.475217,0 days 00:00:33.740329,0.8851967360313262,0.9155665724247637,0.01939294868304793,16,10,0.0062832458658056405,1320,223,3.8274347595081185e-07,1.0156458829469675e-08,0.8788657385448712,0.8372771469332164,0.8361022751741812,0.8384940915330509,0.950715589006179,COMPLETE
459,0.836358323981516,2026-06-01 23:40:27.484658,2026-06-01 23:41:03.524513,0 days 00:00:36.039855,0.8589090890472318,0.9243522695499002,0.019680511013428305,16,10,0.011541288283116688,1340,231,1.0259531322703753e-05,1.3738863628438285e-08,0.8784550805524085,0.836358323981516,0.8370691069257489,0.8356894915378748,0.9506780253752739,COMPLETE
460,0.8343445422893457,2026-06-01 23:41:03.534023,2026-06-01 23:41:43.093900,0 days 00:00:39.559877,0.893637190928294,0.9144907713318973,0.018102592130914485,16,100,0.005156052608232141,1320,223,0.003280837938960224,1.436483909247091e-08,0.8756752190878682,0.8343445422893457,0.8264869516201981,0.8423752301441906,0.9489773014378828,COMPLETE
461,0.8359447409298809,2026-06-01 23:41:43.103801,2026-06-01 23:42:21.851370,0 days 00:00:38.747569,0.65359807644294,0.9046986578319947,0.020323037532760716,16,10,0.004393064975446481,1360,231,0.0012650336483769533,1.9919686514266817e-08,0.8783181900090661,0.8359447409298809,0.8378211395288343,0.8341030379069282,0.9500776799238771,COMPLETE
462,0.8367925588317989,2026-06-01 23:42:21.860396,2026-06-01 23:42:55.778014,0 days 00:00:33.917618,0.8824628743133743,0.9222546191634068,0.01869573519358541,16,10,0.009329499213378155,1320,223,5.362560912968212e-08,1.2280593380461518e-08,0.878455073899938,0.8367925588317989,0.8352744874377068,0.8383524621163941,0.9506591252674271,COMPLETE
463,0.8366013850097391,2026-06-01 23:42:55.787170,2026-06-01 23:43:29.064589,0 days 00:00:33.277419,0.8739963867333784,0.9157980503260907,0.01957234375578927,16,10,0.0036660153263227235,1300,223,0.0017738664059807152,2.387095814568026e-08,0.8783497795971379,0.8366013850097391,0.8353450653710857,0.8378992123506284,0.9508603641979363,COMPLETE
464,0.8370964649094255,2026-06-01 23:43:29.074067,2026-06-01 23:44:03.048790,0 days 00:00:33.974723,0.8830085549154741,0.8989362491977122,0.01889377663012992,16,10,0.006342036756515039,1340,223,2.2174031616568693e-08,1.054750318643669e-08,0.8785498596279528,0.8370964649094255,0.834672478638303,0.8395706445946084,0.9508164362217618,COMPLETE
465,0.8372939642246741,2026-06-01 23:44:03.058617,2026-06-01 23:44:36.621476,0 days 00:00:33.562859,0.8683186324557653,0.8912779359709715,0.01807006285907549,16,10,0.01329346757575085,1300,223,4.020342521652624e-05,1.6239437764235206e-08,0.8787709761005026,0.8372939642246741,0.835363990459939,0.8392590170227022,0.9506869635493879,COMPLETE
466,0.8363356330365991,2026-06-01 23:44:36.630930,2026-06-01 23:45:11.002245,0 days 00:00:34.371315,0.8678500720284431,0.8955787597227778,0.017880194093009626,16,10,0.012500322126601154,1300,231,0.002274446060753758,1.727364156956091e-08,0.8781076063928186,0.8363356330365991,0.8347626193777428,0.8379558848226422,0.9507095047186552,COMPLETE
