number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
561,0.8367123936383015,2026-06-03 13:21:15.159914,2026-06-03 13:22:05.533705,0 days 00:00:50.373791,balanced,0.7935597527846777,0.01426651920792685,16,140,0.019239921590496867,1900,240,1.0021178016061374e-08,4.336863784876234e-08,0.8786097874209307,0.8762051259206856,0.8367123936383015,0.8200736533791598,0.8540569616669499,0.9506840467119632,COMPLETE
562,0.8429953665308308,2026-06-03 13:22:05.552752,2026-06-03 13:23:00.503940,0 days 00:00:54.951188,balanced,0.8082445682695075,0.016681015627543153,16,20,0.02167680042589231,1900,232,5.773832146901328e-08,1.012460203707645e-07,0.8665990974530045,0.8831754771326809,0.8429953665308308,0.841464341790363,0.8445444765302077,0.9533720725696059,COMPLETE
563,0.843933261129756,2026-06-03 13:23:00.514021,2026-06-03 13:23:54.333975,0 days 00:00:53.819954,balanced,0.7839087656711011,0.015663102918351848,16,10,0.03507160260178653,1900,240,3.2696240599763186e-08,1.6496575680088613e-07,0.8949005135541911,0.8838903792866529,0.843933261129756,0.8425175436996848,0.8453654945926052,0.9538121538681893,COMPLETE
564,0.8439664330481419,2026-06-03 13:23:54.343505,2026-06-03 13:24:52.242279,0 days 00:00:57.898774,balanced,0.816719542265066,0.014762136687192335,16,10,0.018216040337958213,1900,248,7.573126982205806e-08,8.785951344672778e-07,0.8860534779790515,0.8838693544301992,0.8439664330481419,0.8422195437884755,0.8457335371723005,0.9540239139049942,COMPLETE
565,0.8436915731473221,2026-06-03 13:24:52.251701,2026-06-03 13:25:51.351848,0 days 00:00:59.100147,balanced,0.7994623887625191,0.014139770562114245,16,20,0.0012839498181865783,1900,256,1.7474547513895915e-08,7.699119115237901e-08,0.9054392457761361,0.8834277916583391,0.8436915731473221,0.8402550010169728,0.8471773965234132,0.9536217637766286,COMPLETE
566,0.8443422954434298,2026-06-03 13:25:51.370719,2026-06-03 13:26:44.179240,0 days 00:00:52.808521,balanced,0.8309705678162856,0.01614437736141741,16,10,0.00015158978740237934,1900,232,5.1115809353361414e-08,1.3649422969902808e-08,0.9103761383984866,0.8841952730306494,0.8443422954434298,0.84293841590025,0.8457618481399694,0.9541141710193227,COMPLETE
567,0.8448388242035278,2026-06-03 13:26:44.189054,2026-06-03 13:27:39.123964,0 days 00:00:54.934910,balanced,0.7785763777657552,0.015280725015140913,16,10,0.041308992505089515,1900,240,2.992138082674504e-08,5.432149277417646e-07,0.8464033834787685,0.8845842642108838,0.8448388242035278,0.8435595926324243,0.8461298907196647,0.9539299283411921,COMPLETE
568,0.8441844342408772,2026-06-03 13:27:39.134478,2026-06-03 13:28:31.523705,0 days 00:00:52.389227,balanced,0.7884574629570336,0.017086025466517912,16,10,0.01910469402598028,1900,232,4.100468394992503e-08,3.04730447549524e-08,0.8931905757208399,0.884195276015015,0.8441844342408772,0.8436460257813131,0.8447426533038899,0.9540009032720352,COMPLETE
569,0.8400020517655044,2026-06-03 13:28:31.532492,2026-06-03 13:29:28.418368,0 days 00:00:56.885876,,0.8053666986959308,0.014120206802787754,16,20,0.03516901423916666,1900,248,2.3318964566956127e-08,3.193577465676048e-07,0.9016743005243438,0.8848471002836643,0.8400020517655044,0.8677836124964097,0.8139686314478229,0.9533843920482248,COMPLETE
570,0.8443554213809649,2026-06-03 13:29:28.427218,2026-06-03 13:30:23.050335,0 days 00:00:54.623117,balanced,0.7946110439169921,0.015244807973102547,16,10,0.018438176087114105,1900,240,8.120515426825743e-08,2.0981243615622506e-07,0.8821227657071583,0.884184757783855,0.8443554213809649,0.8428043850551888,0.8459317139459827,0.9539773771172385,COMPLETE
571,0.8441480930026252,2026-06-03 13:30:23.060196,2026-06-03 13:31:17.997022,0 days 00:00:54.936826,balanced,0.7767997737391931,0.016160655251221696,16,10,0.04296920921823849,1900,248,4.681645345497896e-08,1.2761692714436784e-07,0.9094469515825355,0.884132194482134,0.8441480930026252,0.8433462857377405,0.8449691410452408,0.9538755462836402,COMPLETE
572,0.844207370828156,2026-06-03 13:31:18.008342,2026-06-03 13:32:12.789032,0 days 00:00:54.780690,balanced,0.8165459021435154,0.01448781256739875,16,10,0.018349265238869008,1900,240,1.6107257091819916e-08,5.2373068255229215e-08,0.8768362924294825,0.8839534681146505,0.844207370828156,0.8417720770842226,0.8466677991053734,0.9539284611688114,COMPLETE
573,0.8430737654551775,2026-06-03 13:32:12.798869,2026-06-03 13:33:12.155227,0 days 00:00:59.356358,balanced,0.7833912854522547,0.0174184512534755,16,20,0.01940038741497155,1900,256,2.7968651002716436e-08,7.944677181175908e-08,0.8887592439549553,0.883490877833567,0.8430737654551775,0.8434009732586899,0.8427608855670686,0.9533512076987876,COMPLETE
574,0.8321010556818497,2026-06-03 13:33:12.166025,2026-06-03 13:33:36.387487,0 days 00:00:24.221462,balanced,0.7995952860385821,0.01547382511627739,16,60,0.8404702420478057,1900,232,7.246100717666709e-08,1.9872481606770032e-07,0.8959964151761304,0.8716948802135124,0.8321010556818497,0.8093743398532988,0.8561519732744466,0.9483591428859599,COMPLETE
575,0.8440817512344586,2026-06-03 13:33:36.397485,2026-06-03 13:34:28.852929,0 days 00:00:52.455444,balanced,0.7896796118619566,0.014777777252115841,16,10,0.03786220433229072,1900,232,3.612830380248955e-08,1.1330928857388353e-07,0.9052922565147378,0.883848339190035,0.8440817512344586,0.8415786349017802,0.8466111771700356,0.9538126421681051,COMPLETE
576,0.8389350674644539,2026-06-03 13:34:28.862688,2026-06-03 13:34:57.627335,0 days 00:00:28.764647,balanced,0.7754200217191919,0.01663313428296845,16,10,0.5886304260398989,1900,248,1.7246884023809145e-08,6.767513029639395e-07,0.8884054742887373,0.878013416441552,0.8389350674644539,0.8230118592010344,0.8555008210180625,0.9513783222712261,COMPLETE
577,0.8433638303681822,2026-06-03 13:34:57.636043,2026-06-03 13:35:54.280399,0 days 00:00:56.644356,balanced,0.7809157251557935,0.014043939050021305,16,20,0.013549775352887952,1900,240,5.446050810138745e-08,3.953149343510193e-08,0.8710927237702247,0.8831018836689669,0.8433638303681822,0.8393419256012166,0.847432195232433,0.9533353688701561,COMPLETE
578,0.8440698785001057,2026-06-03 13:35:54.290252,2026-06-03 13:36:49.190306,0 days 00:00:54.900054,balanced,0.808755971569092,0.016162728678705024,16,10,0.0010031825309882027,1900,240,8.385047434967442e-08,2.717770951059731e-07,0.8985021224568609,0.884079620900931,0.8440698785001057,0.8433042861040847,0.8448558971745653,0.954063381374112,COMPLETE
579,0.8446589710665408,2026-06-03 13:36:49.199906,2026-06-03 13:37:43.014253,0 days 00:00:53.814347,balanced,0.8008521339538797,0.01535975721956816,16,10,0.0007708559762473468,1900,232,2.1443370539495157e-08,6.699250048586311e-08,0.8810987228183698,0.8843634868041081,0.8446589710665408,0.8427598481829564,0.8465828662023668,0.9542258431701672,COMPLETE
580,0.8439525765556043,2026-06-03 13:37:43.023940,2026-06-03 13:38:39.156776,0 days 00:00:56.132836,balanced,0.7925761273045688,0.01830635355255176,16,10,0.04734105048244809,1900,256,3.3543345137199596e-08,1.5441863631658392e-07,0.910260736728555,0.8844265676737969,0.8439525765556043,0.8463568664749408,0.841571824924976,0.9538152810956199,COMPLETE
581,0.8436415512627228,2026-06-03 13:38:39.166131,2026-06-03 13:39:38.343267,0 days 00:00:59.177136,balanced,0.8127339291353134,0.014641209263092519,16,20,0.01991956263065838,1900,248,1.0060464902511083e-08,3.5663470186612247e-07,0.830720183014523,0.8834908828075098,0.8436415512627228,0.8409295450591405,0.8463846894286847,0.9532757735141711,COMPLETE
582,0.8454332635247407,2026-06-03 13:39:38.353666,2026-06-03 13:40:33.501647,0 days 00:00:55.147981,balanced,0.7747854143173734,0.013958806206854916,16,10,0.0006782617147901983,1900,240,5.542949437528655e-08,9.867081979925455e-08,0.8928117670697936,0.884720935891517,0.8454332635247407,0.841950542254203,0.8489609874865524,0.9542359561854011,COMPLETE
