model,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,reg_alpha,reg_lambda,accuracy,precision,recall,f1,roc_auc,model_path
native_lgbm_043,220,0.06,31,8,20,0.9,0.75,1,0.0,0.0,0.8517457777029019,0.7799472295514512,0.8373937677053824,0.8076502732240437,0.9339196711617466,models\overfitting_experiment_binary_native\native_lgbm_043.joblib
native_lgbm_082,220,0.06,31,12,20,0.9,0.9,1,0.0,0.0,0.8518300130564798,0.7807639403237753,0.8361473087818697,0.807507113153863,0.9344633192139693,models\overfitting_experiment_binary_native\native_lgbm_082.joblib
native_lgbm_031,220,0.06,31,-1,100,0.9,0.75,1,0.0,0.0,0.851619424672535,0.7798184504960946,0.8371671388101983,0.8074758183507296,0.9347628527926223,models\overfitting_experiment_binary_native\native_lgbm_031.joblib
native_lgbm_029,220,0.06,31,-1,100,0.75,0.9,1,0.0,0.5,0.8518300130564798,0.7810613282491261,0.8355807365439093,0.8074017299901456,0.9345577048773143,models\overfitting_experiment_binary_native\native_lgbm_029.joblib
native_lgbm_028,220,0.06,31,-1,100,0.75,0.9,1,0.0,0.0,0.8519563660868467,0.7817275042444821,0.8347875354107649,0.8073867061208834,0.9345920493789088,models\overfitting_experiment_binary_native\native_lgbm_028.joblib
native_lgbm_050,220,0.06,31,8,50,0.75,0.75,1,0.0,0.5,0.8514088362885903,0.7791126567604595,0.8377337110481586,0.8073604892432019,0.9337915600561636,models\overfitting_experiment_binary_native\native_lgbm_050.joblib
native_lgbm_019,220,0.06,31,-1,50,0.9,0.75,1,0.0,0.0,0.8513246009350124,0.77871354879461,0.838186968838527,0.8073564723859419,0.9349301127561548,models\overfitting_experiment_binary_native\native_lgbm_019.joblib
native_lgbm_079,220,0.06,31,12,20,0.9,0.75,1,0.0,0.0,0.8517457777029019,0.7808364213869773,0.8356940509915014,0.8073344280240832,0.9346019657223417,models\overfitting_experiment_binary_native\native_lgbm_079.joblib
native_lgbm_100,220,0.06,31,12,100,0.75,0.9,1,0.0,0.0,0.851619424672535,0.7810048759804961,0.8349008498583569,0.8070540555342571,0.9341875225738286,models\overfitting_experiment_binary_native\native_lgbm_100.joblib
native_lgbm_032,220,0.06,31,-1,100,0.9,0.75,1,0.0,0.5,0.851703660026113,0.7814689025684568,0.8343342776203966,0.807036773168192,0.9344767828054936,models\overfitting_experiment_binary_native\native_lgbm_032.joblib
native_lgbm_002,220,0.06,31,-1,20,0.75,0.75,1,0.0,0.5,0.8514509539653793,0.7803174603174603,0.8355807365439093,0.8070041039671683,0.9351176877411435,models\overfitting_experiment_binary_native\native_lgbm_002.joblib
native_lgbm_080,220,0.06,31,12,20,0.9,0.75,1,0.0,0.5,0.8511140125510677,0.7787731871838112,0.8372804532577903,0.8069677278436084,0.9344087698303131,models\overfitting_experiment_binary_native\native_lgbm_080.joblib
native_lgbm_023,220,0.06,31,-1,50,0.9,0.9,1,0.0,0.5,0.8514509539653793,0.7804361634554309,0.8353541076487252,0.8069618521153741,0.9346768225316336,models\overfitting_experiment_binary_native\native_lgbm_023.joblib
native_lgbm_001,220,0.06,31,-1,20,0.75,0.75,1,0.0,0.0,0.8513667186118014,0.7800338409475466,0.8358073654390935,0.8069580438706854,0.9345616129268708,models\overfitting_experiment_binary_native\native_lgbm_001.joblib
native_lgbm_016,220,0.06,31,-1,50,0.75,0.9,1,0.0,0.0,0.8514930716421683,0.780756596375967,0.8349008498583569,0.806921476289563,0.9344397455855942,models\overfitting_experiment_binary_native\native_lgbm_016.joblib
